FineGrainedBlock
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

a1
A1_0p25kNs;sa1;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
22;100;100;14:45:55:618;1.82;0.10
23;100;100;14:45:55:703;1.72;0.10
24;100;100;14:45:55:923;1.84;0.12
25;100;100;14:45:56:218;1.75;0.15
26;100;100;14:45:56:228;1.70;0.15
27;100;100;14:45:56:528;1.80;0.19
28;100;100;14:45:56:623;1.86;0.20
29;100;100;14:45:56:833;1.87;0.22
30;100;100;14:45:57:048;1.86;0.25
31;100;100;14:45:57:138;1.84;0.28
32;100;100;14:45:57:233;1.82;0.30
33;100;100;14:45:57:443;1.75;0.34
34;100;100;14:45:57:503;1.70;0.35
35;100;100;14:45:57:718;1.76;0.40
36;100;100;14:45:57:753;1.81;0.42
37;100;100;14:45:57:903;1.82;0.45
38;100;100;14:45:58:058;1.84;0.49
39;100;100;14:45:58:133;1.70;0.51
40;100;100;14:45:58:308;1.66;0.56
41;100;100;14:45:58:368;1.81;0.58
42;100;100;14:45:58:473;1.80;0.61
43;100;100;14:45:58:673;1.81;0.66
44;100;100;14:45:58:678;1.66;0.66
45;100;100;14:45:58:783;1.86;0.71
46;100;100;14:45:58:933;1.82;0.76
47;100;100;14:45:58:988;1.74;0.79
48;100;100;14:45:59:083;1.74;0.81
49;100;100;14:45:59:243;1.77;0.86
50;100;100;14:45:59:298;1.83;0.90
51;100;100;14:45:59:328;1.82;0.91
52;100;100;14:45:59:468;1.86;0.97
53;100;100;14:45:59:608;2.08;1.01
54;100;100;14:45:59:623;1.98;1.02
55;100;100;14:45:59:813;2.27;1.07
56;100;100;14:45:59:918;2.38;1.09
57;100;100;14:46:00:043;2.46;1.12
58;100;100;14:46:00:223;2.44;1.14
59;100;100;14:46:00:358;2.59;1.17
60;100;100;14:46:00:528;2.56;1.18
61;100;100;14:46:00:828;2.63;1.20
62;100;100;14:46:01:128;2.64;1.21
63;100;100;14:46:01:428;2.75;1.21
64;100;100;14:46:01:483;2.87;1.22
65;100;100;14:46:01:513;2.78;1.22
66;100;100;14:46:01:738;2.85;1.22
67;100;100;14:46:02:038;2.78;1.23
68;100;100;14:46:02:338;2.82;1.24
69;100;100;14:46:02:638;2.74;1.24
70;100;100;14:46:02:938;2.79;1.25
71;100;100;14:46:03:238;2.85;1.25
72;100;100;14:46:03:538;2.95;1.26
73;100;100;14:46:03:708;2.78;1.27
74;100;100;14:46:03:843;2.78;1.27
75;100;100;14:46:04:143;2.97;1.27
76;100;100;14:46:04:443;3.01;1.28
77;100;100;14:46:04:743;2.99;1.28
78;100;100;14:46:05:043;2.96;1.29
79;100;100;14:46:05:343;2.93;1.29
80;100;100;14:46:05:643;3.06;1.29
81;100;100;14:46:05:943;3.02;1.30
82;100;100;14:46:06:243;3.07;1.31
83;100;100;14:46:06:543;3.14;1.32
84;100;100;14:46:06:573;3.07;1.32
85;100;100;14:46:06:848;3.24;1.32
86;100;100;14:46:07:148;3.21;1.33
87;100;100;14:46:07:448;3.07;1.34
88;100;100;14:46:07:748;3.20;1.35
89;100;100;14:46:08:048;3.12;1.35
90;100;100;14:46:08:348;3.30;1.36
91;100;100;14:46:08:613;3.17;1.37
