CoarseGrainedBlock
1;2015-11-12;09:22:57;;;27;05:57:00;
30;1;20
0.0;0.0

c2
Cplane_A60_3_II;sc3ii;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
16;100;100;14:47:38:362;2.10;0.73
17;100;100;14:47:38:512;2.10;0.78
18;100;100;14:47:38:712;2.11;0.85
19;100;100;14:47:38:862;2.01;0.91
20;100;100;14:47:39:012;2.08;0.96
21;100;100;14:47:39:162;2.22;1.02
22;100;100;14:47:39:362;2.18;1.08
23;100;100;14:47:39:512;2.41;1.14
24;100;100;14:47:39:662;2.44;1.17
25;100;100;14:47:39:762;2.45;1.19
26;100;100;14:47:39:962;2.65;1.25
27;100;100;14:47:40:312;2.65;1.30
28;100;100;14:47:40:612;2.90;1.35
29;100;100;14:47:40:862;3.07;1.39
30;100;100;14:47:41:012;2.72;1.40
31;100;100;14:47:41:562;3.07;1.45
32;100;100;14:47:41:762;2.61;1.52
33;100;100;14:47:43:062;3.08;1.56

b9
B9;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:04:19:852;1.05;0.00
2;100;100;15:04:21:493;1.42;0.00
3;100;100;15:04:22:193;1.45;0.00
4;100;100;15:04:25:193;1.69;0.00
5;100;100;15:04:28:193;1.96;0.00
6;100;100;15:04:31:193;2.10;0.04
7;100;100;15:04:31:293;1.94;0.05
8;100;100;15:04:31:743;2.05;0.11
9;100;100;15:04:32:193;2.10;0.16
10;100;100;15:04:32:443;2.04;0.21
11;100;100;15:04:32:743;2.13;0.27
12;100;100;15:04:33:043;1.96;0.33
13;100;100;15:04:33:243;1.97;0.38
14;100;100;15:04:33:443;2.12;0.44
15;100;100;15:04:33:643;1.97;0.50
16;100;100;15:04:33:843;2.22;0.56
17;100;100;15:04:33:993;1.89;0.62
18;100;100;15:04:34:193;2.12;0.68
19;100;100;15:04:34:343;1.89;0.74
20;100;100;15:04:34:543;2.03;0.81
21;100;100;15:04:34:693;2.09;0.87
22;100;100;15:04:34:843;2.29;0.92
23;100;100;15:04:34:993;1.91;0.98
24;100;100;15:04:35:043;2.19;0.99
25;100;100;15:04:35:193;2.51;1.04
26;100;100;15:04:35:393;2.50;1.09
27;100;100;15:04:35:793;2.89;1.14
28;100;100;15:04:36:093;2.81;1.20
29;100;100;15:04:36:743;2.93;1.25
30;100;100;15:04:37:343;2.76;1.30
31;100;100;15:04:38:293;3.07;1.35
32;100;100;15:04:38:393;2.85;1.36
33;100;100;15:04:38:893;3.27;1.40
34;100;100;15:04:39:643;3.20;1.45
35;100;100;15:04:40:243;2.87;1.52
36;100;100;15:04:40:593;3.57;1.57

b10
B10;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:12:26:804;1.52;0.00
2;100;100;15:12:28:703;1.43;0.00
3;100;100;15:12:31:703;1.62;0.00
4;100;100;15:12:34:703;1.87;0.00
5;100;100;15:12:36:354;2.18;0.05
6;100;100;15:12:36:953;1.89;0.10
7;100;100;15:12:37:453;2.09;0.16
8;100;100;15:12:37:703;1.89;0.21
